"BG11VESTBT10"	"VELPA 91 AD          BW 1"	"WPR"
"BG11POTUAT13"	"POLYANITSA AD        BW 1"	"WPR"
"BG1100020087"	"PARVI MAY-50 AD     BW  1"	"WPR"
"BG11REPLAT18"	"REZERVNI CHASTI AD   BW 4"	"WPR"
"BG11VEKYAT12"	"VELBUJD AD           BW 1"	"WPR"
"BG1100038022"	"ENERGOREMONT-BOBOV  BW 24"	"WPR"
"BG11B1PLAT15"	"BULGARSKA ROZA-PLOV. BW 1"	"WPR"
"BG1100024980"	"RUEN HOLDING AD      BW 1"	"WPR"
"BG11VIVRAT14"	"VINARSKA IZBA VRA.   BW 1"	"WPR"
"BG11OPPLBT17"	"OPTELA-LASER TECHN AD-PLOVDIV"	"WPR"
"BG11HAKRAT13"	"KHAN KRUM AD       BW 1,1"	"WPR"
"BG11ELNEAT15"	"ELENITE AD           BW 1"	"WPR"
"BG11KOKOAT15"	"KOSTENETZ-HHI JSC    BW 1"	"WPR"
"BG11BUNOAT15"	"BOUKET AD            BW 1"	"WPR"
"BG11VEVEBT12"	"VELINA AD            BW 1"	"WPR"
"BG1100061982"	"CONTINENTAL HLDG     BW 1"	"WPR"
"BG11LAGAAT12"	"LAV AD               BW 1"	"WPR"
"BG9000010074"	"MUTUAL FD INVEST ACT.FD"	"WPR"
"BG9000019075"	"ACTIVA BALANCED FD"	"WPR"
"BG9000007054"	"BENCHMARK FUND-1"	"WPR"
"BG9000011056"	"TBI COMFORT"	"WPR"
"BG9000009050"	"UBB PLATINUM BOND"	"WPR"
"BG9000004085"	"ELANA DOLLAR FUND"	"WPR"
"BG9000004069"	"DSK GROWTH"	"WPR"
"BG9000008060"	"RAIFFEISEN (BULGARIA) BD"	"WPR"
"BG9000009084"	"BENCHMARK FD-6 MONEY MKT"	"WPR"
"BG9000011064"	"KD BONDS BULGARIA FD"	"WPR"
"BG9000003061"	"ELANA BALANCED USD FD"	"WPR"
"BG9000024075"	"MUTUAL FD AU.CA.-BALANCED"	"WPR"
"BG9000018069"	"MUTUAL FD EUROPE"	"WPR"
"BG9000012054"	"CAPMAN MAX FOND"	"WPR"
"BG9000011072"	"MUTUAL FD INVEST CLASSIC"	"WPR"
"BG9000012062"	"STATUS NEW SHARES NAM."	"WPR"
"BG1100012050"	"ELANA HIGH YIELD FUND"	"WPR"
"BG9000026070"	"RAIFFEISEN BUL.BALA.DL"	"WPR"
"BG1100052049"	"UBB BALANCED FUND NAM."	"WPR"
"BG9000010066"	"KD EQUITY BULGARIA FD"	"WPR"
"BG1100093035"	"TBI EUROBOND AD"	"WPR"
"BG9000013078"	"TBI TREASURE"	"WPR"
"BG9000005074"	"STATUS FINANCE"	"WPR"
"BG9000009076"	"MUTUAL FD CCB GARANT"	"WPR"
"BG9000013060"	"BENCHMARK 3 SEC.REA. EST."	"WPR"
"BG9000021063"	"MUTUAL FD DYNERGON PROFIT"	"WPR"
"BG9000002089"	"BENCHMARK FD-4 ENERGY"	"WPR"
"BG9000020065"	"MUTUAL FD SYNERGO PREST."	"WPR"
"BG9000010058"	"TBI HARMONY"	"WPR"
"BG9000008078"	"MUTUAL FD CCB ACTIVE"	"WPR"
"BG1100004040"	"ADVANCE INVEST       BW 1"	"WPR"
"BG1100039046"	"CAPMAN CAPITAL AD   BW 10"	"WPR"
"BG9000002063"	"STANDARD INV.HIGH YIELD"	"WPR"
"BG9000004051"	"DSK BALANCE"	"WPR"
"BG9000007062"	"RAIFFEISEN (BULG.) MON.M."	"WPR"
"BG9000018077"	"ACTIVA HIGH-YIELD FD"	"WPR"
"BG9000001057"	"TBI DYNAMIC"	"WPR"
"BG9000003053"	"DSK STANDARD"	"WPR"
"BG9000025072"	"MUT.FD AU.CAP.-GL.COMMOD."	"WPR"
"BG9000001081"	"ZAGORA FIN.BALANCED FD"	"WPR"
"BG9000001065"	"STANDARD INV.BAL.FD  BW10"	"WPR"
"BG9000003079"	"DF SOMONI STRATEGIYA"	"WPR"
"BG9000005066"	"RAIFFEISEN BALANCED FD"	"WPR"
"BG1100042040"	"KD PELICAN AD-SOFIA"	"WPR"
"BG9000007070"	"MUTUAL FD CCB LEADER"	"WPR"
"BG9000005082"	"MUTUAL FD DSK PROPERTIES"	"WPR"
"BG9000002055"	"SENTINEL PRINCIPAL"	"WPR"
"BG9000003087"	"BENCHMARK FD-5 CEE"	"WPR"
"BG9000001073"	"STANDARD INV.INTL FD"	"WPR"
"BG9000015073"	"ELANA MONEY MARKET FD"	"WPR"
